zone3           -> node27          -> index                         : 63                            , registers: [0, 17020]          , address: 240
zone3           -> node27          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 242
zone3           -> node27          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 244
zone3           -> node27          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 246

zone3           -> node28          -> index                         : 64                            , registers: [0, 17024]          , address: 248
zone3           -> node28          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 250
zone3           -> node28          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 252
zone3           -> node28          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 254

zone3           -> node8           -> index                         : 65                            , registers: [0, 17026]          , address: 256
zone3           -> node8           -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 258
zone3           -> node8           -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 260
zone3           -> node8           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 262

zone3           -> node18          -> index                         : 66                            , registers: [0, 17028]          , address: 264
zone3           -> node18          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 266
zone3           -> node18          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 268
zone3           -> node18          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 270

zone3           -> node17          -> index                         : 67                            , registers: [0, 17030]          , address: 272
zone3           -> node17          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 274
zone3           -> node17          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 276
zone3           -> node17          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 278

zone3           -> node16          -> index                         : 68                            , registers: [0, 17032]          , address: 280
zone3           -> node16          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 282
zone3           -> node16          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 284
zone3           -> node16          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 286

zone3           -> node15          -> index                         : 69                            , registers: [0, 17034]          , address: 288
zone3           -> node15          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 290
zone3           -> node15          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 292
zone3           -> node15          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 294

zone3           -> node14          -> index                         : 70                            , registers: [0, 17036]          , address: 296
zone3           -> node14          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 298
zone3           -> node14          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 300
zone3           -> node14          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 302

zone3           -> node13          -> index                         : 71                            , registers: [0, 17038]          , address: 304
zone3           -> node13          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 306
zone3           -> node13          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 308
zone3           -> node13          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 310

zone3           -> node12          -> index                         : 72                            , registers: [0, 17040]          , address: 312
zone3           -> node12          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 314
zone3           -> node12          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 316
zone3           -> node12          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 318

zone3           -> node11          -> index                         : 73                            , registers: [0, 17042]          , address: 320
zone3           -> node11          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 322
zone3           -> node11          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 324
zone3           -> node11          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 326

zone3           -> node10          -> index                         : 74                            , registers: [0, 17044]          , address: 328
zone3           -> node10          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 330
zone3           -> node10          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 332
zone3           -> node10          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 334

zone3           -> node9           -> index                         : 75                            , registers: [0, 17046]          , address: 336
zone3           -> node9           -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 338
zone3           -> node9           -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 340
zone3           -> node9           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 342

zone3           -> node22          -> index                         : 76                            , registers: [0, 17048]          , address: 344
zone3           -> node22          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 346
zone3           -> node22          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 348
zone3           -> node22          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 350

zone3           -> node21          -> index                         : 77                            , registers: [0, 17050]          , address: 352
zone3           -> node21          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 354
zone3           -> node21          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 356
zone3           -> node21          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 358

zone3           -> node20          -> index                         : 78                            , registers: [0, 17052]          , address: 360
zone3           -> node20          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 362
zone3           -> node20          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 364
zone3           -> node20          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 366

zone3           -> node19          -> index                         : 79                            , registers: [0, 17054]          , address: 368
zone3           -> node19          -> hydraulic_head                : 514.2538452148438             , registers: [36927, 17408]      , address: 370
zone3           -> node19          -> pressure                      : 514.2538452148438             , registers: [36927, 17408]      , address: 372
zone3           -> node19          -> elevation                     : 0.0                           , registers: [0, 0]              , address: 374

zone3           -> tank1           -> index                         : 153                           , registers: [0, 17177]          , address: 376
zone3           -> tank1           -> hydraulic_head                : 50.0                          , registers: [0, 16968]          , address: 378
zone3           -> tank1           -> pressure                      : 50.0                          , registers: [0, 16968]          , address: 380
zone3           -> tank1           -> elevation                     : 0.0                           , registers: [0, 0]              , address: 382
zone3           -> tank1           -> minimum_water_level           : 0.0                           , registers: [0, 0]              , address: 384
zone3           -> tank1           -> maximum_water_level           : 50.0                          , registers: [0, 16968]          , address: 386
zone3           -> tank1           -> initial_water_level           : 50.0                          , registers: [0, 16968]          , address: 388
zone3           -> tank1           -> minimum_water_volume          : 0.0                           , registers: [0, 0]              , address: 390
zone3           -> tank1           -> maximum_water_volume          : 98174.7734375                 , registers: [48995, 18367]      , address: 392
zone3           -> tank1           -> initial_water_volume          : 98174.7734375                 , registers: [48995, 18367]      , address: 394

zone3           -> pump1           -> index                         : 141                           , registers: [0, 17165]          , address: 396
zone3           -> pump1           -> status                        : 0                             , registers: [0, 0]              , address: 398
zone3           -> pump1           -> flow_rate                     : 0.0                           , registers: [0, 0]              , address: 400
zone3           -> pump1           -> power                         : 1.0                           , registers: [0, 16256]          , address: 402
zone3           -> pump1           -> speed                         : 1.0                           , registers: [0, 16256]          , address: 404
zone3           -> pump1           -> energy_usage                  : 0.0                           , registers: [0, 0]              , address: 406

zone3           -> pump2           -> index                         : 144                           , registers: [0, 17168]          , address: 408
zone3           -> pump2           -> status                        : 1                             , registers: [0, 16256]          , address: 410
zone3           -> pump2           -> flow_rate                     : 0.024630529806017876          , registers: [50679, 15561]      , address: 412
zone3           -> pump2           -> power                         : 1.0                           , registers: [0, 16256]          , address: 414
zone3           -> pump2           -> speed                         : 1.0                           , registers: [0, 16256]          , address: 416
zone3           -> pump2           -> energy_usage                  : 0.0022491735871881247         , registers: [26335, 15123]      , address: 418

zone3           -> pump3           -> index                         : 147                           , registers: [0, 17171]          , address: 420
zone3           -> pump3           -> status                        : 1                             , registers: [0, 16256]          , address: 422
zone3           -> pump3           -> flow_rate                     : 3.3589032682357356e-05        , registers: [57843, 14348]      , address: 424
zone3           -> pump3           -> power                         : 1.0                           , registers: [0, 16256]          , address: 426
zone3           -> pump3           -> speed                         : 1.0                           , registers: [0, 16256]          , address: 428
zone3           -> pump3           -> energy_usage                  : 3.296028694421693e-07         , registers: [62534, 13488]      , address: 430



zone1           -> junction2       -> index                         : 7                             , registers: [0, 16608]          , address: 0
zone1           -> junction2       -> hydraulic_head                : 1975.5701904296875            , registers: [62015, 17654]      , address: 2
